Team #,Match #,Scouter Initials,Team Number,Match Number,Robot,Starting Location,No Show,Taxied?,Upper Cargo Scored,Upper Cargo Missed,Lower Cargo Scored,Upper Cargo Scored,Lower Cargo Scored,Defended?,Climb,Started Climb With Time Remaining,Played Defense for Match %,Defense Rating,Disabled for Match %,Comments,,,,,,,,,,,,
612,9,Cm,612,9,b3,right,FALSE,TRUE,0,0,1,0,2,FALSE,4,60,0,x,,,,,,,,,,,,,,
3136,10,Ed,3136,10,r1,left,FALSE,TRUE,2,0,0,8,2,FALSE,2,null,,x,0,,,,,,,,,,,,,
2421,10,BN,2421,10,r2,right,FALSE,TRUE,0,0,0,0,0,FALSE,4,0,80,a,0,"Not strong in shooting, very strong in climbing",,,,,,,,,,,,
3274,10,TR,3274,10,r3,middle,FALSE,FALSE,0,0,1,0,0,FALSE,2,24,100,a,0,"Heavy on defense, but defense was effective.",,,,,,,,,,,,
2537,10,DD,2537,10,b1,middle,FALSE,TRUE,0,0,0,3,0,TRUE,2,15,0,x,0,Lots of overshooting,,,,,,,,,,,,
2914,10,elp,2914,10,b2,undefined,FALSE,TRUE,2,0,0,3,0,FALSE,2,null,0,x,0,steady and reliable,,,,,,,,,,,,
384,10,Cm,384,10,b3,right,FALSE,TRUE,3,0,0,4,0,FALSE,x,20,0,x,0,Robot was under heavy defense,,,,,,,,,,,,
1719,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4821,11,BN,4821,11,r2,undefined,FALSE,TRUE,1,1,0,1,3,FALSE,2,null,0,x,0,Not particularly strong in any area,,,,,,,,,,,,
686,11,TR,686,11,r3,right,FALSE,FALSE,0,3,0,0,7,FALSE,4,40,10,a,0,"Really effective feeding mechanism, but almost tipped over. No shots made for high basket.",,,,,,,,,,,,
836,11,DD,836,11,b1,right,FALSE,TRUE,1,0,0,5,1,FALSE,3,15,10,a,0,Not very accurate,,,,,,,,,,,,
4638,11,elp,4638,11,b2,middle,FALSE,TRUE,1,0,0,6,0,TRUE,3,null,0,x,0,"attempted traversal, arms could not reach. slow shooter",,,,,,,,,,,,
2377,11,Cm,2377,11,b3,left,FALSE,FALSE,2,0,0,9,0,FALSE,f,10,0,x,0,,,,,,,,,,,,,
1086,12,HS,1086,12,r1,middle,FALSE,TRUE,1,1,0,0,0,FALSE,2,30,90,v,0,"Shooter didn't work, very good driver",,,,,,,,,,,,
2068,12,BN,2068,12,r2,undefined,FALSE,TRUE,2,0,0,6,0,FALSE,2,null,0,x,0,Fairly good at shooting,,,,,,,,,,,,
8230,12,TR,8230,12,r3,right,FALSE,FALSE,0,0,0,3,0,FALSE,1,10,0,x,0,"Feeder ineffective, did not attempt to climb until last second",,,,,,,,,,,,
2199,12,DD,2199,12,b1,middle,FALSE,TRUE,1,0,0,1,0,FALSE,x,null,0,x,0,"Fell over, maybe too topheavy? The match was war.",,,,,,,,,,,,
401,12,elp,401,12,b2,right,FALSE,TRUE,3,0,0,6,0,TRUE,x,null,0,x,0,"missed high and hung on by one hook transversal, very heavily defended",,,,,,,,,,,,
623,12,Cm,623,12,b3,left,FALSE,TRUE,2,0,0,4,0,FALSE,4,35,0,x,0,Robot had a part fall off,,,,,,,,,,,,
2186,13,ATH,2186,13,r1,right,FALSE,TRUE,1,0,0,1,0,FALSE,x,5,0,x,0,Not that good accuracy,,,,,,,,,,,,
5549,13,BN,5549,13,r2,undefined,FALSE,TRUE,0,1,0,1,0,FALSE,2,null,0,x,0,"Weak at shooting, average at climbing",,,,,,,,,,,,
8592,13,TR,8592,13,r3,middle,FALSE,TRUE,2,0,0,4,0,TRUE,2,null,0,x,0,Robot a bit unstable,,,,,,,,,,,,
5804,13,DD,5804,13,b1,middle,FALSE,FALSE,0,0,0,7,1,TRUE,f,null,0,x,0,Fell twice on the climb,,,,,,,,,,,,
5587,13,elp,5587,13,b2,right,FALSE,TRUE,3,0,0,8,0,TRUE,x,null,0,x,10,"intake broke, failed climb twice and fell devastating",,,,,,,,,,,,
6194,13,Cm,6194,13,b3,left,FALSE,TRUE,0,0,0,0,2,FALSE,f,30,50,v,0,Top heavy,,,,,,,,,,,,
6802,14,HS,6802,14,r1,right,FALSE,TRUE,1,0,0,6,0,FALSE,2,10,0,x,0,"Slow shooter, fast intake, tank drive",,,,,,,,,,,,
3939,14,BN,3939,14,r2,middle,FALSE,FALSE,1,0,0,5,0,FALSE,2,null,0,x,0,"Fairly good at shooting, average at climb",,,,,,,,,,,,
1610,14,TR,1610,14,r3,left,FALSE,TRUE,1,0,1,7,1,TRUE,2,null,15,a,0,"Shooting pretty accurate, driver seemed uncomfident.",,,,,,,,,,,,
1885,14,DD,1885,14,b1,undefined,FALSE,TRUE,2,0,0,10,0,FALSE,4,30,0,x,0,"Accurate, nice intake, climb is wonderful",,,,,,,,,,,,
8622,14,elp,8622,14,b2,right,FALSE,TRUE,1,0,0,6,0,FALSE,f,null,0,x,0,bad communication was block at ground at low rung,,,,,,,,,,,,
8726,14,Cm,8726,14,b3,middle,FALSE,TRUE,1,0,0,9,0,FALSE,f,15,,x,0,,,,,,,,,,,,,
6326,15,ATH,6326,15,r1,left,FALSE,TRUE,1,0,0,5,0,TRUE,x,,0,x,0,Decent accuracy,,,,,,,,,,,,
4472,15,BN,4472,15,r2,middle,FALSE,TRUE,0,2,0,1,0,FALSE,3,null,0,x,0,"Good at shooting when it did shoot,  spent most of teleop spinning around looking for cargo though. Good at climbing",,,,,,,,,,,,
3748,15,TR,3748,15,r3,right,FALSE,FALSE,0,0,0,0,5,TRUE,f,20,10,x,0,Robot seemed unsure of where to go. Driver unfomdifent. No attempt at high basket,,,,,,,,,,,,
1111,15,DD,1111,15,b1,right,FALSE,TRUE,1,0,0,9,0,FALSE,f,null,0,x,0,"Not bad shooting, but slow climb",,,,,,,,,,,,
1731,15,elp,1731,15,b2,undefined,FALSE,TRUE,0,1,0,6,0,FALSE,4,null,0,x,0,seemed generally unstable and a lot of cargo hit inside edge of goal and bounced out,,,,,,,,,,,,
1262,15,Cm,1262,15,b3,middle,FALSE,FALSE,1,0,0,0,0,FALSE,f,82,,x,90,,,,,,,,,,,,,
